Result,Seed,Pts,Pos,OffRtg,DefRtg,NetRtg,AstR,TOR,TSP,eFGP,FTAR,ORP,DRP,RP,MAS,SAG,POM,OppSeed,OppPts,OppPos,OppOffRtg,OppDefRtg,OppNetRtg,OppAstR,OppTOR,OppTSP,OppeFGP,OppFTAR,OppORP,OppDRP,OppRP,OppMAS,OppSAG,OppPOM
1,16,62.09375,65.27879999999999,94.54852853782444,98.5993155275913,-12.440223024271663,13.140353418798172,11.121215035828769,48.71760821373465,0.4530519220948346,0.5119005128918738,0.35559662173088274,0.7430106485212052,0.5190359781823392,232,239,238,16,59.833333333333336,63.94048,93.39476369789766,97.11077584187437,-12.912254052818161,11.732415497652097,10.8576787099104,44.073119050996645,0.41946686810841066,0.368819985437243,0.33765997632000117,0.7019036761461491,0.4857320046026055,192,210,212
1,3,76.38709677419355,64.47421935483871,118.64436062671584,102.3153420885675,-2.411646497381501,14.48889115009092,13.14762302467529,58.74284874409342,0.5469175227946016,0.37991265876114955,0.37819026712442955,0.6751204017452671,0.5413718964203715,11,8,12,14,80.60714285714286,67.40777142857141,118.82833430144981,100.13444445719081,-3.604706334315765,19.037760546127657,16.48585000672043,58.88232575320037,0.5455291518560056,0.4100578894102679,0.33918809792256877,0.6930571735090132,0.5120640820281728,96,106,102
1,5,69.78125,61.43819999999999,113.92892065236191,91.27268394211298,-1.6929838027201431,14.851869097596381,12.501471333466638,57.96225775038294,0.5255679075955371,0.48520886945879177,0.3131037481619323,0.7302920106513904,0.5354242681776705,13,22,26,12,74.71875,67.12919999999998,111.08727443106318,92.90034591877435,-3.6357472907920605,15.35936928044171,12.160464892771634,55.824259900745375,0.5294304563719916,0.411258050941087,0.2869124613027111,0.7029272995336828,0.5025421009288557,28,33,34
1,7,82.3030303030303,67.52058181818182,121.82823361183863,90.11552719435767,-2.009975682257968,16.307476544749157,12.530422737944598,59.97540970157199,0.5526709033326908,0.38987933525319907,0.3110463717835167,0.7361940034019491,0.5339851646594606,14,9,7,10,71.3030303030303,63.40945454545455,112.23917449289841,103.6484530382383,-4.2970911812588275,14.97611358640583,13.796089331858141,53.34986392719256,0.4964396749897248,0.3461239467082181,0.3635463026576931,0.6714466445338108,0.5145533675438609,55,48,49
1,1,81.52941176470588,66.45176470588237,122.68459541635173,93.43001732645129,-1.0519573630694643,17.037574804893598,12.84823084662712,58.90430902965503,0.5511527667832182,0.4351421497573926,0.3767780934300297,0.6833809338299107,0.5400061050605747,1,1,2,16,73.75,66.9036,110.77529232659398,103.47508566568833,-7.117250304083374,15.88075728355077,14.347538007051371,55.63704096405721,0.5176810277544123,0.4437999651908202,0.29274139699401786,0.7096875163530131,0.5068760903486385,201,204,180
1,2,79.34375,68.3898,116.17483394973821,97.47942044655154,-2.659570376551681,14.351001124578055,12.059287659510035,55.47048252748703,0.5098186651449881,0.5384461782796451,0.40875214486966577,0.6686658270579926,0.5218490974914547,6,6,9,15,73.46666666666667,66.37247999999998,110.53717015856016,104.8177828638312,-3.9272482170336853,12.869923978612748,11.994365855506981,56.69354797623598,0.5098657952847515,0.5432437707136782,0.3189935971496032,0.7039384866343995,0.5107793371264422,134,154,169
1,1,78.94117647058823,67.17063529411766,117.57154290067196,98.6320183767624,-1.1064348008048852,14.671797597464085,11.528804084678091,56.721923600461,0.5294693536844679,0.4530441639795095,0.41010198023241484,0.6811336518875909,0.5532211990252651,2,4,6,16,66.84848484848484,65.6,101.95241370878202,104.0507359988407,-8.9557701759753,11.766813641958201,11.450764730034162,50.75186886962107,0.4821370268330305,0.4112074618991801,0.35056684635477225,0.6663917246535459,0.5008872655234602,158,156,142
1,13,75.96875,64.29599999999999,118.08665583886325,92.20460187920169,-1.6100091126914662,16.07511679019237,11.360409204393495,59.449171079598045,0.5564536379952988,0.4367624589542141,0.3824990970353054,0.6731485545476907,0.5335335861668854,49,61,57,4,77.2258064516129,66.87855483870968,115.28634101428507,104.52472929298511,-3.960360291043786,13.90927632043029,11.665803127659954,57.718259935517864,0.5276160095852129,0.4896377980090133,0.3278542961442196,0.6510314595930585,0.5148465977668163,27,27,36
1,3,75.96969696969697,64.79127272727273,117.51823698892598,100.45651109331199,-2.755083593227087,15.165970050245974,13.626771022123208,54.982400547110345,0.5105148477717364,0.4685309323502058,0.35663654687754476,0.7334623269248844,0.5336332947227826,16,23,47,14,68.55172413793103,60.32706206896553,113.41822660577279,98.9872738390277,-4.496061656762567,14.073854340652204,11.605078854829266,57.416809295144034,0.5444840592055519,0.37912331814917904,0.3021585554839058,0.7048589166332896,0.5206469017944124,105,102,105
1,9,63.75,56.453399999999995,113.05344240712647,93.51560442820015,-0.7283157447346444,13.368325399133765,11.07600946514656,55.121706483768094,0.4981464485032272,0.372365112751366,0.3071989813986913,0.7452156238831894,0.5220275348173276,24,31,32,8,71.8125,64.50840000000001,111.64504242933565,94.83905870315084,-4.754819803689102,17.383201428953242,11.966258475099607,55.58363599857359,0.52603186788199,0.3151946164307876,0.2776089926258538,0.6985872871639036,0.5022314420678609,45,44,37
